project_id	project_title	country	country_code	publisher_type	start_actual_original	start_actual_isodate	start_actual_type	end_actual_original	end_actual_isodate	end_actual_type	participating_org	participating_org_role	sector_value	sector_vocab	status
8729932188	LOCAL GOV SECTOR INVESTMENT PLAN (BSP)	Uganda	UG	3	11/23/2006	2006-23-11	start_actual	06/30/2009	2009-30-06	end_planned	Austria	Funding	sector1: BUDGET SUPPORT	RO	Completion
NGA/000085	Employment-Oriented Private Sector Development	Nigeria	NG	3	01/09/2003	2003-09-01	start_actual	31/03/2011	2011-03-31	end_actual	BMZ	Funding	sector1: Agriculture sector2: Finance sector3: Health subsector1: Unspecified subsector2: HIV/AIDS subsector3: Rural and Agricultural Finance	RO	Completion
AFG/000344	Support to ACBAR	Afghanistan	AF	3	12/01/2007	2007-01-12	start_actual	12/31/2009	2009-31-12	end_actual	Netherlands Organization for International Development and Cooperation	Funding	sector1: 2.1.1 - Governance & Public Administration Reform & Human Rights	RO	
AFG/000368	Support for Government Operations	Afghanistan	AF	3	01/24/2002	2002-24-01	start_actual	01/03/2012	2012-03-01	end_actual	China	Funding	sector1: 2.1.3 - Religious Affairs	RO	
SOM/000001	Gedo Regional Health Care Programme In South-west Somalia- Phase 1	Somalia	SO	3	06/01/2004	2004-01-06	start_actual	02/01/2007	2007-01-02	end_actual	United Kingdom	Funding	sector1: Health subsector1: Basic Health Care	RO	Completion
SOM/000017	Consultancy Service On Interim Public Financial Management Support For Somalia Transitional Federal Government	Somalia	SO	3	06/09/2008	2008-09-06	start_actual	12/01/2010	2010-01-12	end_actual	United Kingdom	Funding	sector1: Government And Civil Society subsector1: Public Sector Financial Management	RO	Completion
COL433	OPERACION PROLONGADA DE SOCORRO Y RECUPERACION ORGANIZACION PANAMERICA DE SALUD - OPSR 200148" Enfoque integrado para abordar la inseguridad alimentaria entre hogares muy vulnerables afrectados por el desplazamiento y la violencia"	Colombia	CO	3	01/01/2012	2012-01-01	start_actual	01/01/2014	2014-01-01	end_actual	PROGRAMA MUNDIAL DE ALIMENTOS - PMA	Funding	sector1: "Garantía Efectiva de los Derechos de las Víctimas"	RO	Completion
87274001	REHABILITATION, EQUIPEMENT ET RENFORCEMENT CELLULE D'APPUI A LA PROMOTION DE L'EMPLOI	Senegal	SN	3	02/07/2005	2005-07-02	start_actual			end_actual	BCI-ETAT	Funding	sector1: 3. ADMINISTRATION GENERALE ET FINANCIERE subsector1: 33. Adm. des ressources humaines et organisat. social	RO	Implementation
8729932188	LOCAL GOV SECTOR INVESTMENT PLAN (BSP)	Uganda	UG	3	23/11/2006	2006-11-23	start_actual	30/06/2009	2009-06-30	end_planned	Austria	Funding	sector1: BUDGET SUPPORT	RO	Post-Completion
